Orthogroup,overlaps,acidithiobacillus_ferrooxidans,acidithiobacillus_thiooxidans,burkholderia_pseudomallei,e_coli,l_ferriphilum.gbk,leptospirillum_ferrooxidans,pseudomonas_aeruginosa_pao1,s_maltophilia,shewanella_oneidensis,MEGAHIT-AR1_L2.36,MEGAHIT-AR2_L2.57,MEGAHIT-AR3_L2.6,MEGAHIT-AR4_L2.41,acidihalobacter_aeolianus,acidihalobacter_ferrooxydans,acidihalobacter_prosperus,acidihalobacter_yilgarnensis,acidithiobacillus_ferrooxidans_counts,acidithiobacillus_thiooxidans_counts,burkholderia_pseudomallei_counts,e_coli_counts,l_ferriphilum.gbk_counts,leptospirillum_ferrooxidans_counts,pseudomonas_aeruginosa_pao1_counts,s_maltophilia_counts,shewanella_oneidensis_counts,MEGAHIT-AR1_L2.36_counts,MEGAHIT-AR2_L2.57_counts,MEGAHIT-AR3_L2.6_counts,MEGAHIT-AR4_L2.41_counts,acidihalobacter_aeolianus_counts,acidihalobacter_ferrooxydans_counts,acidihalobacter_prosperus_counts,acidihalobacter_yilgarnensis_counts
OG0000294,1,,,,,,WP_014449229.1,,,,IEKBFFFE_02304,OIDPMNJM_01746,LNLMDAFO_00585,,AOV16553.1,"APZ42024.1, APZ42087.1",OBS08810.1,AOU97378.1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,2,1,1
OG0000297,2,,,,,,,,,"WP_011073273.1, WP_011073717.1",IEKBFFFE_02963,OIDPMNJM_02219,LNLMDAFO_01280,KPCADNOF_00462,AOV16372.1,APZ42242.1,OBS10158.1,AOU98820.1,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1
OG0000302,1,,,,,,,,,WP_011072771.1,IEKBFFFE_03210,OIDPMNJM_04161,LNLMDAFO_03111,KPCADNOF_01279,AOV17064.1,APZ42669.1,OBS10899.1,AOU97998.1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
OG0000311,1,,,,,,,,,WP_011072304.1,IEKBFFFE_00218,OIDPMNJM_02031,LNLMDAFO_01590,"KPCADNOF_01784, KPCADNOF_03739",AOV17053.1,APZ43421.1,OBS10886.1,AOU98008.1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1
OG0000315,1,,,,,,,,,WP_011073092.1,IEKBFFFE_00333,OIDPMNJM_02164,LNLMDAFO_02930,"KPCADNOF_02605, KPCADNOF_02978, KPCADNOF_02984","AOV16593.1, AOV16648.1",,"OBS09800.1, OBS09870.1","AOU98452.1, AOU99707.1",0,0,0,0,0,0,0,0,1,1,1,1,3,2,0,2,2
OG0000316,2,,,,WP_000133106.1,,,,,WP_011070537.1,"IEKBFFFE_00348, IEKBFFFE_03701","OIDPMNJM_01309, OIDPMNJM_02179, OIDPMNJM_05141",LNLMDAFO_02945,KPCADNOF_03274,AOV16637.1,APZ43015.1,OBS09816.1,AOU98463.1,0,0,0,1,0,0,0,0,1,2,3,1,1,1,1,1,1
OG0000318,4,,,,,,,NP_253765.1,,"WP_011072170.1, WP_011072674.1, WP_164925635.1","IEKBFFFE_00455, IEKBFFFE_02985","OIDPMNJM_00773, OIDPMNJM_01151","LNLMDAFO_02593, LNLMDAFO_03248",,AOV16343.1,APZ44535.1,"OBS08401.1, OBS10199.1","AOU96637.1, AOU98901.1",0,0,0,0,0,0,1,0,3,2,2,2,0,1,1,2,2
OG0000324,1,WP_012536784.1,,,,,,,,,"IEKBFFFE_00876, IEKBFFFE_01538","OIDPMNJM_02248, OIDPMNJM_03451","LNLMDAFO_01604, LNLMDAFO_02841","KPCADNOF_00400, KPCADNOF_02106, KPCADNOF_02209, KPCADNOF_03127",AOV17206.1,"APZ42823.1, APZ42938.1, APZ42940.1, APZ42965.1",OBS10471.1,AOU97628.1,1,0,0,0,0,0,0,0,0,2,2,2,4,1,4,1,1
OG0000325,1,,,,WP_000167336.1,,,,,,IEKBFFFE_00885,"OIDPMNJM_02257, OIDPMNJM_02924",LNLMDAFO_01613,"KPCADNOF_02160, KPCADNOF_02884",,"APZ42572.1, APZ42812.1",OBS10480.1,"AOU97635.1, AOU97781.1",0,0,0,1,0,0,0,0,0,1,2,1,2,0,2,1,2
OG0000326,1,WP_215905594.1,,,,,,,,,IEKBFFFE_01008,OIDPMNJM_04565,LNLMDAFO_02486,,"AOV16029.1, AOV18183.1",APZ43628.1,"OBS08259.1, OBS09196.1","AOU96735.1, AOU99087.1",1,0,0,0,0,0,0,0,0,1,1,1,0,2,1,2,2
OG0000327,1,WP_012536171.1,,,,,,,,,"IEKBFFFE_01043, IEKBFFFE_03027","OIDPMNJM_02055, OIDPMNJM_02124","LNLMDAFO_01891, LNLMDAFO_02521",KPCADNOF_00572,"AOV16248.1, AOV16596.1",APZ44411.1,"OBS07985.1, OBS08450.1",AOU97103.1,1,0,0,0,0,0,0,0,0,2,2,2,1,2,1,2,1
OG0000328,1,,,,,LFTS_01812,,,,,"IEKBFFFE_01057, IEKBFFFE_03599","OIDPMNJM_03916, OIDPMNJM_05268",LNLMDAFO_02124,KPCADNOF_03816,"AOV17570.1, AOV18575.1",APZ42825.1,OBS09995.1,AOU98652.1,0,0,0,0,1,0,0,0,0,2,2,1,1,2,1,1,1
OG0000329,1,,,,,,,,,WP_011071783.1,IEKBFFFE_01100,OIDPMNJM_01558,LNLMDAFO_02167,KPCADNOF_02246,AOV18479.1,APZ43239.1,OBS11047.1,AOU98373.1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
OG0000331,3,,,WP_004527208.1,,,,,WP_012479109.1,WP_011073168.1,IEKBFFFE_01330,OIDPMNJM_01288,LNLMDAFO_02560,"KPCADNOF_01337, KPCADNOF_01338",AOV18489.1,APZ44629.1,OBS10977.1,AOU97871.1,0,0,1,0,0,0,0,1,1,1,1,1,2,1,1,1,1
OG0000335,1,,,,,,,,,WP_011072792.1,IEKBFFFE_01544,OIDPMNJM_04716,LNLMDAFO_01401,"KPCADNOF_00072, KPCADNOF_00567",AOV18611.1,APZ42267.1,OBS08620.1,AOU97248.1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1
OG0000336,2,,,,,"LFTS_01304, LFTS_01305",,,,,"IEKBFFFE_01629, IEKBFFFE_03380","OIDPMNJM_01382, OIDPMNJM_02775",LNLMDAFO_00107,,AOV16176.1,APZ42113.1,OBS09621.1,AOU97049.1,0,0,0,0,2,0,0,0,0,2,2,1,0,1,1,1,1
OG0000337,1,,,,,,,NP_254048.1,,,IEKBFFFE_01743,OIDPMNJM_02719,LNLMDAFO_00608,"KPCADNOF_00371, KPCADNOF_01844, KPCADNOF_02278",AOV17717.1,APZ44475.1,OBS08605.1,AOU97234.1,0,0,0,0,0,0,1,0,0,1,1,1,3,1,1,1,1
OG0000338,1,,,,,,,,WP_005408163.1,,"IEKBFFFE_01760, IEKBFFFE_02666","OIDPMNJM_00661, OIDPMNJM_02537","LNLMDAFO_01638, LNLMDAFO_03418",,AOV16068.1,,OBS08347.1,AOU97700.1,0,0,0,0,0,0,0,1,0,2,2,2,0,1,0,1,1
OG0000341,1,WP_009565427.1,,,,,,,,,"IEKBFFFE_01850, IEKBFFFE_02900","OIDPMNJM_03026, OIDPMNJM_03722","LNLMDAFO_00871, LNLMDAFO_01244",,AOV18549.1,"APZ44278.1, APZ44706.1",OBS10353.1,AOU97540.1,1,0,0,0,0,0,0,0,0,2,2,2,0,1,2,1,1
OG0000343,1,,,,,,,,,WP_011071210.1,IEKBFFFE_01855,OIDPMNJM_03717,LNLMDAFO_01249,KPCADNOF_00133,AOV18088.1,APZ44273.1,OBS08121.1,"AOU96848.1, AOU98077.1",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2
OG0000344,1,,,,,LFTS_00569,,,,,IEKBFFFE_02017,OIDPMNJM_03607,LNLMDAFO_02416,KPCADNOF_02155,AOV18301.1,APZ44418.1,OBS09554.1,AOU99405.1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
OG0000355,3,,,,,,,,,"WP_011073262.1, WP_011073280.1, WP_011073700.1",IEKBFFFE_03290,"OIDPMNJM_03690, OIDPMNJM_04603",LNLMDAFO_02336,KPCADNOF_01032,AOV17950.1,APZ43936.1,OBS09113.1,AOU99034.1,0,0,0,0,0,0,0,0,3,1,2,1,1,1,1,1,1
OG0000357,1,,,,,,,,,WP_164925791.1,IEKBFFFE_03530,"OIDPMNJM_00507, OIDPMNJM_04647",LNLMDAFO_02380,"KPCADNOF_02471, KPCADNOF_02816",AOV16691.1,"APZ41992.1, APZ42075.1",OBS09752.1,AOU99682.1,0,0,0,0,0,0,0,0,1,1,2,1,2,1,2,1,1
OG0000358,1,,,,,LFTS_00489,,,,,IEKBFFFE_03594,"OIDPMNJM_02817, OIDPMNJM_05263",LNLMDAFO_02119,KPCADNOF_01514,AOV17462.1,APZ42908.1,OBS10003.1,AOU98662.1,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,1,1
OG0000369,1,,,,,,,,,WP_011072667.1,IEKBFFFE_00663,"OIDPMNJM_00595, OIDPMNJM_00754",LNLMDAFO_00318,KPCADNOF_01623,AOV17279.1,APZ42866.1,OBS10387.1,,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,0
OG0000374,2,,,,WP_001295307.1,,,,,WP_011072687.1,IEKBFFFE_01516,"OIDPMNJM_03242, OIDPMNJM_03429",LNLMDAFO_02819,"KPCADNOF_02547, KPCADNOF_03693",AOV17853.1,APZ43377.1,OBS10283.1,AOU98953.1,0,0,0,1,0,0,0,0,1,1,2,1,2,1,1,1,1
OG0000375,1,,,,,,,,,WP_011072686.1,IEKBFFFE_01517,"OIDPMNJM_03243, OIDPMNJM_03430",LNLMDAFO_02820,"KPCADNOF_02546, KPCADNOF_03381",AOV17852.1,APZ43376.1,OBS10282.1,AOU98952.1,0,0,0,0,0,0,0,0,1,1,2,1,2,1,1,1,1
OG0000376,1,,,,,,,NP_253859.1,,,IEKBFFFE_01547,OIDPMNJM_04713,LNLMDAFO_01398,KPCADNOF_00948,AOV17707.1,APZ42265.1,OBS08618.1,AOU97246.1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
OG0000377,1,,,,,,,NP_253752.1,,,IEKBFFFE_01665,OIDPMNJM_02582,LNLMDAFO_01849,"KPCADNOF_01825, KPCADNOF_02661",AOV18320.1,APZ41934.1,OBS08384.1,AOU96653.1,0,0,0,0,0,0,1,0,0,1,1,1,2,1,1,1,1
OG0000378,1,WP_009562486.1,,,,,,,,,IEKBFFFE_01946,OIDPMNJM_00910,LNLMDAFO_01153,,AOV18537.1,APZ44692.1,OBS10485.1,,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
OG0000380,1,WP_012537571.1,,,,,,,,,IEKBFFFE_02441,OIDPMNJM_03830,LNLMDAFO_00480,"KPCADNOF_01870, KPCADNOF_03800",AOV18103.1,APZ44483.1,OBS08140.1,"AOU96833.1, AOU97264.1, AOU97265.1",1,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,3
OG0000381,1,,,,,,,,,WP_011072590.1,"IEKBFFFE_02504, IEKBFFFE_03175","OIDPMNJM_00485, OIDPMNJM_04126","LNLMDAFO_00151, LNLMDAFO_03076",,"AOV15737.1, AOV16807.1",APZ44690.1,OBS09508.1,AOU99840.1,0,0,0,0,0,0,0,0,1,2,2,2,0,2,1,1,1
OG0000392,1,WP_012537054.1,,,,,,,,,IEKBFFFE_03165,OIDPMNJM_04116,LNLMDAFO_03066,"KPCADNOF_00870, KPCADNOF_01711",AOV17161.1,APZ43689.1,OBS10521.1,,1,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,0
OG0000396,3,,,,WP_000699219.1,"LFTS_01311, LFTS_01314",,,,,IEKBFFFE_03381,OIDPMNJM_01381,LNLMDAFO_00108,KPCADNOF_03847,AOV16175.1,APZ42114.1,OBS09622.1,AOU97048.1,0,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1
OG0000397,1,,,,,,,,,WP_011071715.1,IEKBFFFE_03441,OIDPMNJM_01827,LNLMDAFO_01305,"KPCADNOF_01156, KPCADNOF_02994",AOV16954.1,APZ43655.1,OBS10749.1,AOU98106.1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1
OG0000398,1,,,,,,,,,WP_011073238.1,IEKBFFFE_03476,OIDPMNJM_01067,LNLMDAFO_02067,,AOV17988.1,APZ43416.1,,,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0
OG0000399,2,,,,,LFTS_00490,WP_014449516.1,,,,IEKBFFFE_03595,"OIDPMNJM_03795, OIDPMNJM_05264",LNLMDAFO_02120,KPCADNOF_03065,AOV17461.1,"APZ42909.1, APZ43469.1",OBS10002.1,AOU98661.1,0,0,0,0,1,1,0,0,0,1,2,1,1,1,2,1,1
OG0000401,1,,,,,,,,WP_012480129.1,,,"OIDPMNJM_00003, OIDPMNJM_02265",,"KPCADNOF_02052, KPCADNOF_02633, KPCADNOF_03753",AOV18349.1,,,,0,0,0,0,0,0,0,1,0,0,2,0,3,1,0,0,0
OG0000407,1,,,,WP_000002907.1,,,,,,IEKBFFFE_00110,OIDPMNJM_02507,LNLMDAFO_02705,,"AOV16297.1, AOV17969.1","APZ41890.1, APZ41901.1","OBS08515.1, OBS09144.1","AOU99507.1, AOU99783.1",0,0,0,1,0,0,0,0,0,1,1,1,0,2,2,2,2
OG0000408,1,,,,,,,,,WP_011071083.1,IEKBFFFE_00114,OIDPMNJM_02511,LNLMDAFO_02709,"KPCADNOF_02451, KPCADNOF_02861",AOV16293.1,APZ41897.1,OBS08511.1,AOU97153.1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1
OG0000409,1,,,,,,,,,WP_011072320.1,IEKBFFFE_00131,OIDPMNJM_01100,LNLMDAFO_00750,,AOV17228.1,APZ42392.1,OBS10444.1,AOU97606.1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
OG0000410,1,,,,,,,,,WP_011072710.1,IEKBFFFE_00162,OIDPMNJM_01820,LNLMDAFO_01298,"KPCADNOF_00780, KPCADNOF_03117, KPCADNOF_03738",AOV16960.1,APZ43648.1,OBS10756.1,AOU98100.1,0,0,0,0,0,0,0,0,1,1,1,1,3,1,1,1,1
OG0000413,1,,,,,,,,,WP_011073034.1,IEKBFFFE_00195,"OIDPMNJM_00844, OIDPMNJM_01668",LNLMDAFO_01921,"KPCADNOF_00271, KPCADNOF_00573, KPCADNOF_00957, KPCADNOF_01042, KPCADNOF_01374, KPCADNOF_01573, KPCADNOF_02533",AOV17778.1,,OBS10613.1,,0,0,0,0,0,0,0,0,1,1,2,1,7,1,0,1,0
OG0000418,1,,,,,,,,,WP_011071416.1,IEKBFFFE_00625,"OIDPMNJM_01113, OIDPMNJM_01679, OIDPMNJM_02436",LNLMDAFO_03205,KPCADNOF_02558,AOV18005.1,APZ42921.1,OBS08018.1,AOU96932.1,0,0,0,0,0,0,0,0,1,1,3,1,1,1,1,1,1
OG0000424,1,,,,WP_000710769.1,,,,,,IEKBFFFE_00976,OIDPMNJM_00078,LNLMDAFO_01468,KPCADNOF_02825,AOV18321.1,APZ41783.1,OBS08375.1,AOU99429.1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
OG0000427,1,WP_012537087.1,,,,,,,,,IEKBFFFE_01031,OIDPMNJM_04543,LNLMDAFO_02509,,AOV18201.1,APZ44362.1,OBS08280.1,AOU96721.1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
OG0000432,2,,,,,,WP_014450268.1,,,WP_011073968.1,IEKBFFFE_01655,"OIDPMNJM_00727, OIDPMNJM_02593",LNLMDAFO_00068,KPCADNOF_02731,AOV15678.1,APZ41925.1,OBS08395.1,AOU96643.1,0,0,0,0,0,1,0,0,1,1,2,1,1,1,1,1,1
OG0000434,1,,,,,,,,,WP_011073365.1,IEKBFFFE_01789,"OIDPMNJM_00804, OIDPMNJM_05076",LNLMDAFO_01413,KPCADNOF_03380,AOV15746.1,APZ41712.1,OBS09499.1,AOU99355.1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1
OG0000435,2,,,,WP_000789986.1,,,,,WP_011073376.1,IEKBFFFE_01917,OIDPMNJM_03645,LNLMDAFO_00969,KPCADNOF_00448,AOV18436.1,APZ42094.1,OBS08770.1,"AOU98079.1, AOU98298.1, AOU99540.1",0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,3
OG0000436,1,,,,,,,,,WP_011074330.1,IEKBFFFE_02020,"OIDPMNJM_03604, OIDPMNJM_04455",LNLMDAFO_02419,KPCADNOF_00528,AOV18304.1,APZ44421.1,OBS09557.1,AOU99408.1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1
OG0000437,1,,,WP_004524586.1,,,,,,,IEKBFFFE_02032,"OIDPMNJM_02051, OIDPMNJM_03592",LNLMDAFO_02431,"KPCADNOF_03769, KPCADNOF_03837",AOV18315.1,APZ44432.1,OBS09569.1,AOU99418.1,0,0,1,0,0,0,0,0,0,1,2,1,2,1,1,1,1
OG0000441,2,WP_012537572.1,,,,,,,,WP_011071514.1,IEKBFFFE_02440,OIDPMNJM_03829,LNLMDAFO_00481,"KPCADNOF_02846, KPCADNOF_02848",AOV18102.1,APZ41970.1,OBS08139.1,AOU96834.1,1,0,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1
OG0000442,1,WP_009560861.1,,,,,,,,,IEKBFFFE_02627,"OIDPMNJM_03238, OIDPMNJM_03425",LNLMDAFO_02815,"KPCADNOF_00311, KPCADNOF_00926",AOV17857.1,APZ43380.1,OBS09009.1,AOU98956.1,1,0,0,0,0,0,0,0,0,1,2,1,2,1,1,1,1
OG0000447,1,,,,,,,,,WP_011071988.1,IEKBFFFE_03096,OIDPMNJM_01039,"LNLMDAFO_01514, LNLMDAFO_03169","KPCADNOF_00096, KPCADNOF_02858",AOV17517.1,APZ43903.1,OBS09920.1,AOU98585.1,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,1
OG0000452,1,,,,,,,,,WP_011070606.1,IEKBFFFE_03484,"OIDPMNJM_02091, OIDPMNJM_02236, OIDPMNJM_04207",LNLMDAFO_02261,KPCADNOF_00510,AOV18594.1,APZ44097.1,OBS07849.1,AOU98716.1,0,0,0,0,0,0,0,0,1,1,3,1,1,1,1,1,1
OG0000453,1,,,,,,,,,WP_011070607.1,IEKBFFFE_03485,"OIDPMNJM_02092, OIDPMNJM_02235, OIDPMNJM_04208",LNLMDAFO_02262,KPCADNOF_00511,AOV17610.1,APZ44096.1,OBS07848.1,AOU98715.1,0,0,0,0,0,0,0,0,1,1,3,1,1,1,1,1,1
OG0000454,1,,,,,,,,,WP_011070608.1,IEKBFFFE_03486,"OIDPMNJM_02093, OIDPMNJM_02234, OIDPMNJM_04209",LNLMDAFO_02263,KPCADNOF_00512,AOV17609.1,APZ44095.1,OBS07847.1,AOU98714.1,0,0,0,0,0,0,0,0,1,1,3,1,1,1,1,1,1
OG0000455,1,,,,,,,,,WP_011074006.1,IEKBFFFE_03532,"OIDPMNJM_03747, OIDPMNJM_04645",LNLMDAFO_02378,KPCADNOF_02814,AOV16693.1,APZ42077.1,OBS09750.1,AOU99681.1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1
OG0000456,1,,,,,,,,,WP_011070621.1,IEKBFFFE_03555,"OIDPMNJM_03941, OIDPMNJM_04532, OIDPMNJM_05224",LNLMDAFO_02080,KPCADNOF_01943,AOV17595.1,APZ44079.1,OBS10028.1,AOU98699.1,0,0,0,0,0,0,0,0,1,1,3,1,1,1,1,1,1
OG0000458,1,,,,,LFTS_00488,,,,,IEKBFFFE_03597,OIDPMNJM_05266,LNLMDAFO_02122,KPCADNOF_02777,AOV17464.1,APZ42911.1,OBS10000.1,AOU98657.1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
OG0000464,1,,,,,,,,,WP_011071084.1,IEKBFFFE_00111,OIDPMNJM_02508,LNLMDAFO_02706,KPCADNOF_01909,AOV16296.1,APZ41900.1,OBS08514.1,AOU97156.1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
OG0000465,1,,,,,,,,,WP_011071082.1,IEKBFFFE_00115,OIDPMNJM_02512,LNLMDAFO_02710,KPCADNOF_00574,AOV16292.1,APZ41896.1,OBS08510.1,AOU99506.1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
OG0000468,1,,,,,LFTS_00080,,,,,"IEKBFFFE_00173, IEKBFFFE_01159","OIDPMNJM_01132, OIDPMNJM_04970","LNLMDAFO_03186, LNLMDAFO_03320",,AOV16298.1,APZ41891.1,OBS08516.1,AOU97157.1,0,0,0,0,1,0,0,0,0,2,2,2,0,1,1,1,1
OG0000470,1,,,,WP_001278954.1,,,,,,IEKBFFFE_00341,"OIDPMNJM_02172, OIDPMNJM_03899",LNLMDAFO_02938,KPCADNOF_01006,AOV16642.1,APZ43022.1,OBS09809.1,AOU98459.1,0,0,0,1,0,0,0,0,0,1,2,1,1,1,1,1,1
OG0000471,1,,,,,,,,,WP_011071159.1,"IEKBFFFE_00366, IEKBFFFE_03521","OIDPMNJM_01398, OIDPMNJM_04058",LNLMDAFO_01349,,AOV16587.1,APZ44510.1,OBS09879.1,AOU98546.1,0,0,0,0,0,0,0,0,1,2,2,1,0,1,1,1,1
OG0000477,2,WP_012537462.1,,,,,,,,WP_164925908.1,IEKBFFFE_00791,"OIDPMNJM_02814, OIDPMNJM_05085",LNLMDAFO_03236,KPCADNOF_01896,AOV15758.1,APZ41727.1,OBS09486.1,AOU99342.1,1,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1
OG0000479,1,,,,,,,,,WP_011072381.1,IEKBFFFE_00884,"OIDPMNJM_02256, OIDPMNJM_02925",LNLMDAFO_01612,KPCADNOF_00762,AOV17199.1,APZ42811.1,OBS10479.1,AOU97634.1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1
OG0000482,1,,,,,,,,,WP_011071022.1,IEKBFFFE_00943,"OIDPMNJM_02555, OIDPMNJM_03396, OIDPMNJM_04411",LNLMDAFO_00015,,AOV16164.1,APZ42123.1,OBS09634.1,AOU97037.1,0,0,0,0,0,0,0,0,1,1,3,1,0,1,1,1,1
OG0000486,1,,,,,,,,,WP_011072536.1,IEKBFFFE_01033,OIDPMNJM_04541,LNLMDAFO_02511,KPCADNOF_01442,AOV18203.1,APZ44360.1,OBS08282.1,AOU96719.1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
OG0000490,2,,,,,LFTS_01293,,,,WP_011071795.1,IEKBFFFE_01112,"OIDPMNJM_01570, OIDPMNJM_02612",LNLMDAFO_02179,KPCADNOF_00108,AOV16733.1,APZ44636.1,OBS11034.1,AOU98362.1,0,0,0,0,1,0,0,0,1,1,2,1,1,1,1,1,1
OG0000493,2,WP_012607615.1,,,,,,,WP_005407778.1,,IEKBFFFE_01173,OIDPMNJM_01195,LNLMDAFO_03334,KPCADNOF_02056,AOV17729.1,APZ44740.1,OBS08590.1,AOU97221.1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
OG0000495,1,,,,,,,,,WP_011073591.1,IEKBFFFE_01225,OIDPMNJM_03366,LNLMDAFO_01694,KPCADNOF_01143,AOV16888.1,APZ43303.1,OBS10660.1,AOU98202.1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
OG0000497,1,WP_041646078.1,,,,,,,,,IEKBFFFE_01240,OIDPMNJM_03381,LNLMDAFO_01709,"KPCADNOF_00362, KPCADNOF_01720",AOV16873.1,APZ43066.1,OBS10643.1,AOU98217.1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1
OG0000500,1,,,,,,,,,WP_011071534.1,IEKBFFFE_01287,"OIDPMNJM_04184, OIDPMNJM_04783",LNLMDAFO_01775,KPCADNOF_02230,AOV18163.1,APZ44325.1,OBS08224.1,AOU96760.1,0,0,0,0,0,0,0,0,1,1,2,1,1,1,1,1,1
OG0000507,1,,,,,,,,,WP_011070651.1,IEKBFFFE_01647,OIDPMNJM_03623,LNLMDAFO_00060,KPCADNOF_02708,AOV15673.1,APZ44448.1,OBS09592.1,AOU99425.1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
OG0000509,1,,,,,,,NP_253928.1,,,IEKBFFFE_01742,OIDPMNJM_02718,LNLMDAFO_00607,,AOV17716.1,APZ41908.1,OBS08606.1,AOU97235.1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1
OG0000512,1,,,,,,,,,WP_011071209.1,"IEKBFFFE_01841, IEKBFFFE_03522",OIDPMNJM_03731,"LNLMDAFO_01235, LNLMDAFO_01832",,AOV18089.1,APZ44284.1,OBS08122.1,AOU96847.1,0,0,0,0,0,0,0,0,1,2,1,2,0,1,1,1,1
OG0000513,1,,,,,,,,WP_043034284.1,,IEKBFFFE_01860,"OIDPMNJM_03712, OIDPMNJM_04494",LNLMDAFO_01254,KPCADNOF_00546,AOV18083.1,APZ44267.1,OBS08104.1,AOU96853.1,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,1,1
OG0000516,1,,,,,,,,,WP_011074332.1,IEKBFFFE_02022,OIDPMNJM_03602,LNLMDAFO_02421,KPCADNOF_00526,AOV18306.1,APZ44423.1,OBS09559.1,AOU99410.1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
OG0000521,1,,,WP_004185526.1,,,,,,,IEKBFFFE_02107,"OIDPMNJM_03979, OIDPMNJM_04081",LNLMDAFO_00910,KPCADNOF_03079,AOV15701.1,APZ44028.1,OBS08365.1,AOU96665.1,0,0,1,0,0,0,0,0,0,1,2,1,1,1,1,1,1
OG0000523,1,,,,,,,,,WP_011071261.1,IEKBFFFE_02140,OIDPMNJM_01461,LNLMDAFO_02299,KPCADNOF_00487,AOV16927.1,APZ42673.1,OBS10718.1,AOU98137.1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
OG0000528,1,,,,WP_000020486.1,,,,,,IEKBFFFE_02272,"OIDPMNJM_01714, OIDPMNJM_04446",LNLMDAFO_00553,"KPCADNOF_03011, KPCADNOF_03294",AOV16614.1,APZ42985.1,OBS09845.1,AOU98488.1,0,0,0,1,0,0,0,0,0,1,2,1,2,1,1,1,1
OG0000529,4,,,WP_004197255.1,WP_000885873.1,,,,WP_012480126.1,WP_011073130.1,IEKBFFFE_02273,"OIDPMNJM_01715, OIDPMNJM_04447",LNLMDAFO_00554,"KPCADNOF_03012, KPCADNOF_03295",AOV16615.1,APZ42986.1,OBS09844.1,AOU98487.1,0,0,1,1,0,0,0,1,1,1,2,1,2,1,1,1,1
OG0000530,1,,,,,,,,WP_012479132.1,,IEKBFFFE_02300,OIDPMNJM_01742,LNLMDAFO_00581,KPCADNOF_03735,AOV18430.1,APZ44498.1,OBS08706.1,AOU99528.1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
OG0000532,1,,,,,,,,,WP_011073313.1,IEKBFFFE_02308,OIDPMNJM_01750,"LNLMDAFO_00122, LNLMDAFO_00589",KPCADNOF_03732,AOV16478.1,APZ44745.1,OBS08712.1,AOU97300.1,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1
OG0000537,1,,,,,,,,,WP_011072117.1,IEKBFFFE_02487,OIDPMNJM_03876,LNLMDAFO_00434,,AOV17687.1,APZ43976.1,OBS08644.1,AOU97271.1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1
